month,season,avgTa,maxTa,minTa,sumRn,avgWs,avgRhm,sumSsHr,avgPs
1,winter,-1.9,2.1,-5.5,16.8,2.3,56.2,169.6,1024.9
2,winter,0.7,5.1,-3.2,28.2,2.5,54.6,170.8,1023.2
3,spring,6.1,11.0,1.9,36.9,2.7,54.6,198.2,1019.4
4,spring,12.6,17.9,8.0,72.9,2.7,54.8,206.3,1014.8
5,spring,18.2,23.6,13.5,103.6,2.5,59.7,223.0,1010.9
6,summer,22.7,27.6,18.7,129.5,2.2,65.7,189.1,1007.3
7,summer,25.3,29.0,22.3,414.4,2.2,76.2,123.6,1006.4
8,summer,26.1,30.0,22.9,348.2,2.1,73.5,156.1,1008.2
9,fall,21.6,26.2,17.7,141.5,1.9,66.4,179.7,1013.5
10,fall,15.0,20.2,10.6,52.2,2.0,61.8,206.5,1019.2
11,fall,7.5,11.9,3.5,51.1,2.2,60.4,157.3,1022.6
12,winter,0.2,4.2,-3.4,22.6,2.3,57.8,162.9,1025.1
